,EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
39,39,27,1,2,1,5,13,1,8,1,3,84,3,2,4,0,0,19,2,5,3,3,4,2,1,1,0,3
40,40,37,0,1,0,1,3,2,10,1,4,82,3,1,1,0,1,13,2,6,3,2,5,3,4,3,0,3
41,41,38,0,1,2,1,3,1,2,4,1,75,4,2,1,6,1,12,4,17,2,3,15,7,4,12,0,3
42,42,34,0,3,2,1,3,2,2,4,3,86,2,1,1,1,0,11,3,6,3,3,6,5,1,3,0,3
43,43,35,0,1,1,5,14,2,8,4,1,72,3,1,4,1,0,16,2,3,1,2,3,2,0,2,0,3
44,44,40,0,3,1,1,3,1,2,2,3,38,4,2,2,1,0,24,4,8,2,3,8,7,3,7,0,4
45,45,34,0,1,1,5,13,2,8,2,3,93,3,2,1,5,0,17,2,6,1,3,3,2,1,2,0,3
46,46,24,1,1,0,1,15,0,9,3,3,60,2,1,2,1,0,11,3,1,4,3,1,0,0,0,0,3
47,47,52,0,1,1,1,15,2,11,4,4,82,3,2,3,8,0,20,2,9,3,3,5,2,1,4,0,4
48,48,50,1,3,1,1,3,2,2,3,3,64,3,4,3,5,0,16,4,30,3,3,4,3,0,3,0,3
49,49,29,0,1,1,1,3,2,1,2,2,36,2,1,1,1,1,11,4,1,1,3,1,0,0,0,1,3
50,50,33,1,3,1,1,3,2,7,3,3,49,3,3,3,0,0,11,4,14,3,4,13,9,3,7,0,3
51,51,33,0,2,2,5,13,2,16,3,1,69,3,2,1,5,0,15,3,6,3,3,3,2,0,2,1,3
52,52,47,0,4,1,1,3,2,2,2,3,33,3,4,4,1,1,11,3,26,3,2,26,14,3,0,0,3
53,53,36,0,4,1,1,3,2,1,3,3,35,3,2,2,0,0,15,1,10,2,3,9,7,0,5,0,3
54,54,29,1,1,1,1,15,2,23,2,3,81,4,1,3,1,0,24,3,10,3,3,10,7,0,7,0,4
55,55,35,0,1,2,1,15,2,1,4,4,40,4,1,3,3,0,13,3,7,0,3,2,2,2,2,0,3
56,56,42,0,1,1,1,3,2,1,2,4,43,2,2,4,9,1,13,4,8,4,3,4,3,0,2,0,3
57,57,28,1,3,2,1,3,2,2,4,3,46,3,1,3,6,0,17,4,5,3,2,2,2,2,1,1,3
58,58,36,1,0,1,3,6,2,13,3,3,36,3,1,2,4,0,13,2,8,2,3,5,2,0,4,0,3
59,59,40,1,3,2,1,3,1,16,4,1,51,2,2,3,6,0,14,4,10,6,3,1,0,0,0,0,3
60,60,30,0,3,2,1,3,2,2,3,3,52,2,2,4,5,1,24,2,12,4,2,0,0,0,0,0,4
61,61,45,0,1,2,1,3,2,2,3,2,95,2,1,3,1,0,14,4,1,3,3,1,0,0,0,0,3
62,62,42,1,1,1,1,3,2,29,3,2,98,3,2,2,1,0,13,4,10,3,2,9,8,7,8,0,3
63,63,38,1,1,0,1,3,1,12,3,1,45,2,2,1,2,0,15,3,13,3,2,4,3,1,2,0,3
64,64,49,0,2,1,5,13,2,11,3,3,43,3,3,4,1,0,18,1,9,3,4,9,8,7,7,1,3
65,65,55,1,3,2,5,13,2,2,1,3,37,3,2,4,4,0,16,3,12,3,2,9,7,7,3,1,3
66,66,43,1,1,1,1,3,2,14,2,2,94,3,4,1,6,0,24,3,22,3,3,4,1,1,0,0,3
67,67,27,1,5,0,1,3,2,5,1,3,42,2,3,4,1,1,16,2,9,3,3,9,8,0,8,0,3
68,68,35,1,4,2,1,3,2,7,3,3,59,3,3,3,3,0,21,2,17,3,4,8,5,1,6,0,4
69,69,28,0,2,1,5,13,2,2,4,2,81,3,2,2,1,1,20,1,8,2,3,8,7,7,5,0,3
70,70,26,0,3,1,1,3,1,5,2,3,88,2,1,3,1,1,14,1,8,2,3,8,7,1,7,1,3
71,71,27,1,3,1,1,3,0,3,3,4,50,3,1,4,1,0,11,3,0,6,2,0,0,0,0,0,3
72,72,51,0,2,1,5,8,2,26,4,1,66,3,4,3,2,0,14,3,29,2,2,20,6,4,17,0,3
73,73,44,1,3,2,1,3,2,4,3,4,50,3,2,2,9,0,12,4,10,2,2,5,2,2,3,0,3
74,74,25,1,3,2,1,3,2,2,1,1,65,4,1,1,7,0,13,3,6,3,2,4,3,0,1,0,3
75,75,35,0,3,2,1,15,2,27,1,3,53,2,1,1,1,0,11,4,6,3,2,6,5,1,1,0,3
76,76,36,1,1,1,5,13,2,1,2,2,56,3,2,4,1,1,14,4,18,1,2,18,14,4,11,0,3
77,77,53,0,2,1,5,13,2,7,2,1,78,2,3,4,7,1,18,4,35,3,3,5,2,0,4,0,3
78,78,45,1,2,0,5,13,2,9,3,4,74,3,3,1,4,1,12,3,18,2,3,5,4,0,2,0,3
79,79,32,0,3,1,1,3,2,8,2,3,91,4,2,3,5,0,12,3,9,3,2,5,3,1,3,0,3
80,80,37,1,2,0,5,13,2,16,4,4,66,2,2,3,4,0,19,4,9,2,3,1,0,0,0,0,3
81,81,28,1,3,0,3,6,2,8,2,2,63,2,1,4,1,0,13,4,6,6,3,5,1,0,4,0,3
82,82,22,1,1,1,1,15,2,1,2,4,33,2,2,4,6,0,22,1,4,2,1,2,2,2,2,0,3
83,83,44,1,1,1,1,3,2,8,4,1,62,4,1,4,2,1,24,3,10,2,2,3,2,0,2,0,3
84,84,42,1,3,2,1,15,1,2,1,2,35,3,1,4,5,1,14,4,8,2,3,2,1,2,2,0,3
85,85,36,1,1,1,3,6,2,8,3,1,77,2,1,1,0,0,21,3,6,3,3,5,4,0,3,0,3
86,86,25,1,4,1,5,13,2,3,1,3,98,3,2,1,1,1,18,4,5,3,3,5,3,0,3,0,3
87,87,35,0,1,0,1,3,1,25,4,4,96,3,1,2,1,1,19,1,10,3,2,10,2,7,8,1,3
88,88,32,1,1,0,1,3,0,1,3,4,61,3,1,4,0,0,12,2,4,2,3,3,0,0,2,0,3
89,89,49,0,5,1,0,1,2,1,3,3,36,3,1,1,2,0,16,2,7,2,3,4,2,0,2,0,3
90,90,24,1,1,1,1,15,0,4,1,1,46,2,1,4,0,0,17,4,6,2,2,5,2,3,4,0,3
91,91,32,1,1,1,5,13,1,5,2,2,48,3,2,2,1,0,14,4,10,3,3,10,8,5,3,0,3
92,92,38,1,2,1,5,14,2,9,3,2,98,2,1,2,0,0,19,4,3,3,3,2,2,1,2,0,3
93,93,31,1,1,1,1,15,2,11,4,4,48,3,1,4,3,1,19,2,8,2,3,6,4,0,2,0,3
94,94,53,1,2,1,5,13,2,8,3,1,73,3,4,4,5,0,14,3,28,3,3,2,0,2,2,0,3
95,95,37,0,3,1,5,14,1,21,2,3,54,3,1,4,5,0,15,2,10,3,3,5,4,0,0,0,3
96,96,53,0,1,2,1,3,2,23,4,4,72,3,4,4,6,0,18,3,33,0,3,12,9,3,8,0,3
97,97,43,0,1,1,1,3,1,1,3,4,33,3,2,4,4,0,13,2,12,2,2,5,2,2,2,0,3
98,98,47,0,2,1,5,13,2,2,2,3,35,3,2,4,0,1,22,1,8,2,3,7,6,7,7,0,4
99,99,37,1,3,2,5,13,0,19,2,1,32,3,3,2,1,1,13,4,10,2,3,10,0,0,9,0,3
100,100,50,1,1,0,1,3,0,2,4,1,98,3,4,1,1,0,11,4,31,3,3,31,6,14,7,0,3
101,101,39,0,1,1,3,6,2,2,3,4,42,2,2,4,8,0,11,3,13,2,3,5,4,0,4,0,3
102,102,33,1,0,0,3,6,2,3,2,4,57,3,1,2,3,1,11,3,7,4,4,4,3,0,3,0,3
103,103,32,1,1,2,1,3,2,25,4,1,87,3,1,4,1,1,24,3,1,2,1,1,0,0,1,1,3
104,104,44,1,1,1,1,3,2,9,2,2,61,3,1,1,1,1,13,4,8,0,3,8,7,7,1,0,3
105,105,58,1,1,0,1,3,1,2,1,4,57,2,1,4,9,1,14,4,3,3,2,1,0,0,0,1,3
106,106,20,0,3,2,5,14,2,2,3,3,49,2,1,3,1,0,13,4,2,3,2,2,2,0,2,1,3
107,107,21,0,4,2,0,1,2,18,1,4,65,3,1,4,1,0,19,1,1,3,2,1,0,0,0,1,3
108,108,36,1,1,1,0,1,2,14,1,3,68,3,2,4,0,1,17,1,17,2,2,16,8,4,11,0,3
109,109,47,0,1,2,5,14,2,2,4,4,65,2,1,4,1,1,18,1,3,3,2,3,2,1,2,0,3
110,110,22,0,1,1,1,3,2,3,1,2,34,3,2,3,0,1,19,1,4,3,4,3,2,0,2,1,3
111,111,28,0,3,0,1,3,2,9,3,3,77,3,1,3,5,0,18,2,6,2,3,2,2,2,2,0,3
112,112,39,1,3,1,1,15,2,6,3,4,70,3,1,1,7,1,21,4,8,2,1,2,2,2,2,1,3
113,113,27,0,1,2,1,3,2,4,3,2,76,3,1,3,1,0,19,3,1,2,3,1,1,0,0,0,3
114,114,34,1,1,0,1,3,2,10,3,2,83,3,1,2,1,0,14,2,1,3,3,1,0,1,0,0,3
115,115,42,0,3,2,5,13,2,14,2,3,68,2,2,3,7,0,17,1,10,6,3,5,4,0,3,0,3
116,116,33,1,4,2,1,15,2,1,4,3,100,2,1,1,3,1,11,2,6,1,3,3,2,0,2,0,3
117,117,58,0,5,0,1,15,2,5,3,3,37,2,3,2,2,1,13,4,24,3,3,6,0,0,4,0,3
118,118,31,1,1,1,5,14,2,7,4,2,41,2,1,3,3,0,15,2,13,2,4,7,7,5,2,0,3
119,119,35,0,1,1,1,15,2,21,1,4,51,3,2,4,1,1,25,4,10,2,1,10,6,0,7,0,3
120,120,48,1,3,1,0,1,2,20,4,4,51,3,1,3,4,0,17,1,13,2,2,0,0,0,0,0,3
121,121,31,0,2,1,5,13,0,20,2,4,45,3,2,3,1,0,13,4,9,2,2,9,8,0,0,0,3
122,122,36,1,4,2,1,3,2,7,4,2,65,3,1,4,2,0,18,3,8,6,3,6,2,0,1,0,3
123,123,38,0,5,1,1,15,2,1,3,4,80,3,3,1,1,0,13,2,15,3,3,15,12,5,11,0,3
124,124,32,0,1,1,1,15,0,1,3,3,70,2,1,2,6,0,20,3,5,3,3,3,0,0,2,0,4
125,125,25,1,2,1,5,14,2,19,2,3,36,2,1,2,1,1,18,3,1,2,3,1,0,0,0,1,3
126,126,41,1,3,2,1,3,2,6,3,4,59,3,1,1,2,1,13,3,20,3,3,18,13,2,17,0,3
127,127,36,1,3,2,1,3,2,2,4,3,79,3,1,3,4,0,21,3,16,6,3,11,8,3,9,0,4
128,128,19,1,4,2,5,14,2,21,3,4,37,2,1,2,1,1,13,2,1,3,4,1,0,0,0,1,3
129,129,20,1,5,2,1,3,2,4,3,1,84,3,1,1,1,0,19,2,1,2,3,1,0,0,0,1,3
130,130,31,0,3,1,1,3,2,12,3,4,41,3,2,4,0,1,11,3,10,2,1,9,7,8,5,0,3
131,131,36,1,1,1,5,13,2,3,1,3,51,2,3,4,1,1,11,1,16,6,3,16,7,3,7,1,3
132,132,37,1,1,1,5,13,2,1,4,1,46,2,3,3,5,0,11,3,17,2,1,14,1,11,7,1,2
133,133,45,1,1,1,1,3,0,4,2,3,57,3,2,2,1,0,12,2,9,5,2,9,7,0,8,0,3
134,134,29,0,5,1,5,14,1,20,3,3,84,3,1,4,1,0,15,2,3,5,3,3,1,0,2,0,3
135,135,35,0,3,1,5,13,2,18,3,3,86,3,2,3,1,0,16,2,5,3,3,5,2,1,0,0,3
136,136,52,1,1,1,1,15,2,1,2,4,70,3,4,4,2,0,15,2,26,2,2,9,8,7,8,0,3
137,137,53,1,3,0,5,8,2,2,2,3,45,3,4,3,6,0,13,3,22,3,4,17,13,15,2,0,3
138,138,30,1,4,0,5,13,2,8,2,3,62,3,3,3,5,0,11,1,10,2,4,8,4,7,7,0,3
139,139,35,1,1,0,5,13,2,3,4,4,92,3,3,4,6,0,13,2,12,2,3,10,9,0,8,0,3
140,140,39,1,1,2,5,13,2,2,5,1,41,4,3,3,0,0,18,4,9,3,3,8,7,0,7,0,3
141,141,40,0,1,2,5,13,0,24,3,2,100,4,4,2,4,1,16,4,22,2,2,1,0,0,0,1,3
142,142,47,1,3,0,1,15,1,16,4,3,64,4,2,3,1,1,19,3,20,3,4,19,10,2,7,0,3
143,143,36,1,5,0,5,13,0,8,4,1,84,3,2,4,4,0,13,4,12,3,3,7,7,0,7,0,3
144,144,31,1,3,2,1,3,0,9,2,3,46,2,1,1,0,1,22,1,4,0,3,3,2,1,2,1,4
145,145,33,1,1,2,5,8,0,17,3,4,38,3,4,3,1,0,11,4,10,2,3,10,8,6,0,0,3
146,146,29,0,1,2,1,3,2,10,3,4,92,2,1,1,6,1,20,3,3,5,3,0,0,0,0,1,4
147,147,33,0,1,2,1,3,2,13,1,2,53,3,1,4,3,0,18,1,5,4,3,3,2,0,2,0,3
148,148,45,0,3,0,1,3,2,1,4,4,91,3,1,4,3,0,14,4,8,2,3,5,3,0,2,0,3
149,149,50,1,3,0,1,15,2,1,2,4,66,3,4,4,9,0,22,3,32,1,2,5,4,1,3,0,4
150,150,33,0,4,1,1,3,1,1,4,3,84,4,2,2,1,1,13,1,6,2,3,6,5,1,2,0,3
151,151,41,1,3,0,1,3,1,9,3,1,64,3,5,3,2,0,17,2,21,2,4,18,16,0,11,0,3
152,152,45,1,1,1,1,3,0,23,2,4,42,3,2,1,1,1,15,3,9,2,3,9,8,0,8,0,3
153,153,47,0,1,2,5,13,2,4,2,4,83,3,2,4,1,1,17,3,9,0,3,9,0,0,7,0,3
154,154,30,0,1,1,1,3,2,22,3,1,48,3,1,3,4,1,11,2,7,2,3,5,2,0,1,1,3
155,155,50,1,1,1,1,3,2,24,3,4,95,3,4,3,3,1,18,4,22,2,3,12,11,1,5,0,3
156,156,38,1,3,1,4,16,1,10,1,3,66,3,1,3,0,0,17,2,3,0,2,2,1,0,2,0,3
157,157,35,1,4,0,4,7,2,14,4,3,39,2,1,2,1,1,24,4,5,2,1,4,2,0,2,1,3
158,158,31,0,1,1,4,10,1,1,1,3,96,3,2,1,1,0,12,3,4,1,3,4,3,0,3,0,3
159,159,18,1,1,2,4,12,0,5,2,2,73,3,1,4,1,0,15,4,0,2,3,0,0,0,0,0,3
160,160,54,0,5,1,4,16,2,17,3,3,56,3,3,3,8,0,11,3,22,2,3,10,7,0,8,0,3
161,161,35,0,3,0,4,5,2,25,4,3,57,3,3,3,1,1,11,3,16,3,2,16,10,10,1,0,3
162,162,30,0,1,1,4,11,2,8,2,2,73,4,3,1,0,1,12,3,9,4,2,8,7,1,7,0,2
163,163,26,1,3,1,4,16,2,2,2,4,32,4,2,4,1,0,12,2,8,2,3,8,7,1,3,0,3
164,164,22,1,1,1,4,7,2,8,1,2,94,1,1,1,1,0,15,1,4,3,2,4,3,1,1,0,2
165,165,48,1,1,2,4,5,2,6,3,1,97,2,2,3,2,0,13,4,19,0,3,2,2,2,2,0,2
166,166,48,1,1,2,4,16,2,4,4,3,78,2,3,3,7,0,14,2,27,3,3,15,11,4,8,0,3
167,167,41,0,3,2,4,10,2,7,2,4,42,3,2,3,6,0,14,2,8,6,3,2,2,2,1,0,3
168,168,39,0,1,1,4,10,2,1,1,4,65,2,4,4,1,0,16,3,21,3,3,21,6,11,8,0,3
169,169,27,0,1,1,4,16,2,2,4,1,47,3,2,4,0,0,18,2,4,2,3,3,2,2,2,0,2
170,170,35,1,4,0,4,7,2,10,3,2,45,3,1,4,1,0,20,1,3,4,2,3,2,1,2,0,2
171,171,42,1,2,1,5,8,2,5,2,4,90,3,5,3,6,0,13,2,21,3,4,1,0,0,0,0,4
172,172,50,1,1,1,4,7,2,9,3,1,64,3,1,4,4,0,18,2,8,5,3,1,0,0,0,0,3
173,173,59,0,1,2,4,10,2,2,3,3,69,2,4,4,3,1,13,1,30,4,3,5,3,4,3,0,3
174,174,55,1,3,1,4,5,1,18,4,3,62,3,2,2,3,1,14,4,17,3,3,8,7,6,7,0,3
175,175,41,0,1,0,4,11,0,7,1,2,55,1,5,3,1,0,22,2,21,3,3,21,16,5,10,0,2
176,176,38,1,1,2,5,13,2,3,4,2,42,3,2,4,8,1,12,3,19,1,3,1,0,0,0,0,3
177,177,26,1,3,2,5,13,0,29,2,2,79,1,2,1,8,0,18,4,7,6,3,2,2,2,2,1,2
178,178,52,0,2,1,5,8,2,2,1,1,57,1,5,4,1,0,15,4,33,3,3,32,14,6,9,1,2
179,179,44,0,3,1,5,13,2,28,3,4,53,4,4,4,3,1,18,3,23,2,3,12,11,11,11,0,3
180,180,50,0,1,1,5,13,0,1,3,4,95,3,2,3,0,0,12,1,19,3,3,18,7,0,13,0,3
181,181,39,0,3,2,4,10,1,22,3,4,82,3,3,1,1,1,13,3,21,2,3,21,6,2,8,0,3
182,182,33,0,1,2,5,14,0,8,1,2,88,2,1,4,0,0,19,4,3,2,2,2,2,2,2,0,2
183,183,45,0,1,1,5,8,2,11,2,4,90,3,4,4,3,0,13,2,26,4,4,9,3,1,1,0,3
184,184,32,0,3,2,4,16,0,29,4,4,69,3,1,3,9,0,12,2,10,2,3,8,7,7,7,0,3
185,185,34,1,2,0,5,13,2,1,4,2,75,4,2,4,0,0,11,4,16,2,2,15,1,0,9,0,3
186,186,59,1,5,1,5,8,2,1,2,2,66,3,3,4,3,1,14,3,14,1,1,6,4,0,4,0,3
187,187,45,1,3,2,3,6,2,24,4,2,36,3,1,2,1,0,16,1,6,3,3,6,3,0,4,0,3
188,188,36,1,4,0,4,7,2,15,3,1,81,3,2,3,7,0,14,2,9,3,2,1,0,0,0,1,3
189,189,26,1,1,1,4,12,1,2,3,1,57,3,1,1,6,1,14,2,6,2,3,3,2,1,2,1,2
190,190,28,1,3,1,5,14,2,10,1,4,74,3,1,2,1,0,22,2,1,5,3,1,0,0,0,0,4
191,191,38,1,4,1,4,16,1,3,4,3,44,3,1,3,3,0,16,1,8,2,3,2,2,2,2,0,3
192,192,50,1,3,1,4,16,2,2,4,2,62,3,5,3,2,1,11,4,29,2,2,8,1,7,7,0,3
193,193,37,0,4,2,4,5,2,3,3,4,35,3,2,2,3,0,15,1,8,3,2,4,3,0,1,0,3
194,194,40,1,2,1,5,13,2,26,3,3,74,3,2,1,1,0,14,2,8,3,2,7,7,7,5,0,3
195,195,26,0,3,0,4,12,1,1,1,1,66,2,1,3,1,0,13,3,5,5,3,5,3,1,3,0,2
196,196,54,0,1,1,5,13,2,2,4,3,41,2,3,3,6,0,11,2,13,4,3,9,4,7,0,0,3
197,197,56,0,3,1,4,16,1,9,3,1,63,3,1,3,2,0,19,2,18,4,3,5,4,0,3,0,3
198,198,36,0,3,2,4,10,2,12,5,4,51,2,3,4,0,0,11,2,15,2,2,14,8,7,8,0,3
199,199,55,1,3,2,4,8,0,2,1,3,40,2,4,1,7,0,15,2,31,3,4,9,7,6,2,0,4
200,200,43,1,3,0,5,13,2,25,3,3,79,2,3,4,5,0,13,3,18,5,3,1,0,0,0,0,3
201,201,20,0,2,2,5,14,1,9,3,4,54,3,1,4,1,1,14,2,2,3,3,2,2,0,2,1,3
202,202,21,0,1,2,4,16,2,10,3,3,36,2,1,1,1,0,13,1,1,6,2,1,0,1,0,1,3
203,203,46,0,1,0,4,16,2,8,4,4,74,2,2,1,8,1,23,1,19,2,3,16,13,1,7,0,4
204,204,28,1,5,2,4,16,0,24,2,2,72,2,3,1,1,0,12,1,10,2,2,10,7,1,9,1,2
205,205,26,1,3,1,4,7,2,1,2,1,59,2,1,1,1,0,16,1,6,2,3,5,3,1,3,0,2
206,206,30,1,4,1,4,16,2,20,3,3,85,3,2,1,0,0,15,3,7,1,2,6,2,0,2,0,3
207,207,38,0,1,1,4,5,2,17,1,3,65,2,3,3,0,0,18,1,20,4,2,19,9,1,9,0,3
208,208,40,1,5,1,4,16,2,20,4,1,61,3,3,4,4,0,20,4,14,6,3,11,10,11,1,0,2
209,209,27,1,1,1,4,16,0,8,5,1,87,1,1,3,1,0,19,4,3,4,3,3,2,1,2,0,2
210,210,55,1,1,1,4,9,1,2,1,4,65,3,3,2,3,0,18,2,23,4,3,3,2,1,2,0,3
211,211,44,1,3,1,3,6,2,1,2,2,91,2,3,1,9,0,14,4,24,1,3,20,6,3,6,1,2
212,212,33,0,3,2,4,12,1,29,4,1,54,2,2,3,1,0,22,2,14,4,3,13,7,3,8,1,2
213,213,34,1,1,2,4,5,1,3,1,1,45,3,2,4,0,0,17,3,7,1,2,6,2,0,4,0,3
214,214,25,1,5,1,4,9,2,4,1,4,32,3,1,4,1,1,15,2,7,3,4,7,7,5,6,1,3
215,215,26,1,3,0,4,9,2,21,3,1,37,3,1,3,1,0,20,3,1,0,2,1,1,0,0,1,4
216,216,42,1,3,1,4,8,2,2,2,4,35,3,4,1,0,0,17,4,23,3,3,22,6,13,7,0,3
217,217,28,1,3,0,4,9,1,1,3,1,45,2,1,2,1,0,15,1,1,2,3,1,0,0,0,1,3
218,218,50,1,4,2,5,13,1,1,4,4,81,3,2,3,3,1,14,4,5,4,3,0,0,0,0,1,3
219,219,33,0,1,1,5,13,1,7,3,4,30,3,2,2,0,0,17,3,4,3,3,3,2,0,2,0,3
220,220,34,1,1,1,4,12,0,3,4,3,40,2,1,4,3,0,17,4,6,2,3,0,0,0,0,0,3
221,221,48,1,3,2,4,9,0,1,4,1,35,4,4,4,2,0,22,3,27,3,2,5,4,2,1,0,2
222,222,45,0,1,1,5,13,0,9,4,2,65,2,2,3,1,0,13,4,15,2,3,15,10,4,12,0,2
223,223,52,1,1,2,4,5,2,7,4,2,87,3,3,2,7,0,19,4,18,4,3,8,6,4,0,0,2
224,224,38,1,2,0,5,13,2,10,4,3,73,2,3,3,0,1,14,2,9,2,3,8,7,2,7,0,3
225,225,29,0,1,0,4,9,2,28,4,3,93,3,1,4,4,0,22,1,11,1,3,7,5,1,7,0,4
226,226,28,0,3,0,4,10,2,3,3,4,93,3,3,2,0,0,17,2,10,3,2,9,7,1,7,0,3
227,227,46,1,2,1,5,8,2,3,1,1,52,3,4,3,3,0,12,4,23,3,3,12,9,4,9,0,2
228,228,38,1,2,2,5,13,2,2,2,4,32,3,3,2,7,0,16,3,10,2,3,1,0,0,0,0,3
229,229,39,1,1,0,4,5,1,2,3,1,84,3,4,4,7,0,11,4,21,4,3,18,7,11,5,1,2
230,230,40,1,3,2,4,9,2,14,3,3,44,2,5,3,1,0,14,1,21,2,4,20,7,4,9,0,3
